nro_identificacion;bgi_30;acierta_plus;score_trview;edad_cliente;INGRESOS;cupo_max_TDC;tiene_telcos;tiene_real;tiene_coop;ant_max;ant_real;ant_telcos;meses_ultima_apr_tdc;meses_ultima_apr_cab;num_tdc;util_tdc_rot;cant_mora_30;cant_mora_60;telcos;ciudad_exp;entidad_cupo_max;nro_ahor_mer;nro_corr_mer;nro_cons_2m_tdc_mer;nro_cons_2m_cab_mer;sector_real
1;0;637;80;30;1490000;0;1;1;1;NULL;1.75;2.42;NULL;NULL;0;0;0;0;3;PITALITO;;0.00;4.00;0;1;2
2;0;707;53;31;3080000;500000;1;1;0;4.00;7.33;6.92;68,4;NULL;1;0,191616766;0;0;1;SANTA MARTA;BANCO SERFINANSA S.A;2.00;2.00;0;0;1
3;0;802;162;43;2484000;0;1;1;1;0.25;3.92;11.25;NULL;NULL;0;0;0;0;2;ITAGUI;;0.00;2.00;0;1;1
4;1;429;57;43;3627000;4000000;1;0;0;11.75;-1.00;5.92;144,4333333;NULL;2;0,276973586;0;0;5;BOGOTA D.C.;ITAU CORPBANCA TC;0.00;0.00;0;0;0
5;1;580;26;42;1242000;0;1;1;0;4.67;1.58;6.08;NULL;18,7;0;0;1;1;2;BOGOTA D.C.;;0.00;0.00;0;1;2
6;0;751;105;43;4173000;5000000;1;1;0;4.42;0.83;5.08;43,03333333;21,66666667;3;0,913464827;0;0;5;MANZANARES;BANCOLOMBIA VISA;2.00;4.00;0;1;1
7;0;789;156;59;2211000;0;1;1;1;-1.00;0.92;7.83;NULL;NULL;0;0;0;0;2;IBAGUE;;0.00;0.00;0;0;1
8;0;689;42;34;1556000;0;0;1;0;-1.00;2.92;-1.00;NULL;NULL;0;0;0;0;0;QUIBDO;;0.00;4.00;0;0;3
9;0;695;80;27;2012000;0;1;1;1;-1.00;0.92;3.67;NULL;NULL;0;0;0;0;1;ZIPAQUIRA;;0.00;2.00;0;1;1
10;0;732;97;30;2434000;2000000;1;0;0;0.92;-1.00;3.25;24,73333333;NULL;2;0,777690082;0;0;1;NEIVA;BANCO SERFINANSA S.A;0.00;2.00;0;1;0
11;0;801;139;32;2633000;12650000;1;1;0;8.08;7.75;4.25;66,36666667;NULL;6;0,162690769;0;0;1;IBAGUE;B. FALLABELLA;0.00;0.00;0;0;2
12;0;705;17;32;9887000;1540000;1;1;1;4.50;0.25;4.50;43,03333333;17,66666667;2;1;3;0;1;IBAGUE;B. FALLABELLA;0.00;2.00;0;3;1
13;0;606;35;42;2103000;0;0;0;1;-1.00;-1.00;-1.00;NULL;NULL;0;0;0;0;0;BUCARAMANGA;;0.00;0.00;0;0;0
14;1;655;57;36;7312000;15000000;1;0;0;4.75;-1.00;9.67;61,26666667;30,86666667;2;0,847997992;0;0;6;CUCUTA;B. FALLABELLA;0.00;2.00;0;1;0
15;0;674;87;53;3237000;5100000;0;0;0;4.17;-1.00;-1.00;23,73333333;NULL;3;0,708637578;0;0;0;ARMENIA;TUYA S.A.;0.00;2.00;1;0;0
16;0;834;163;61;17994000;30000000;1;0;0;13.83;-1.00;16.08;52,13333333;42;7;0,084048312;0;0;5;BOGOTA D.C.;BANCOLOMBIA VISA;12.00;0.00;1;1;0
17;0;863;167;65;4480000;5750000;0;0;0;4.25;-1.00;-1.00;71,4;24,73333333;1;0,40010433;0;0;0;BOGOTA D.C.;BANCO SERFINANSA S.A;0.00;2.00;0;0;0
18;1;680;55;63;3088000;2436000;1;1;0;6.33;0.33;2.50;21,66666667;21,66666667;4;1;0;0;2;BOGOTA D.C.;TUYA S.A.;0.00;2.00;0;2;4
19;1;439;32;69;2028000;3500000;1;1;0;6.50;1.67;3.83;NULL;NULL;1;1;0;2;2;MEDELLIN;BCO DAVIVIENDA;0.00;2.00;0;1;1
20;0;829;162;36;27700000;50000000;1;0;0;7.67;-1.00;5.67;22,7;66,36666667;4;0,207430868;0;0;4;MEDELLIN;BCO COLPATRIA;0.00;4.00;0;1;0
21;0;768;131;65;1258000;0;1;1;1;2.50;0.42;4.25;NULL;NULL;0;0,628148148;0;0;1;ARMENIA;;0.00;0.00;0;0;6
22;0;691;113;42;2881000;0;1;0;1;0.33;-1.00;5.33;NULL;NULL;0;0;0;0;1;SANTA MARTA;;0.00;0.00;0;1;0
23;0;763;134;54;1896000;0;1;0;0;0.33;-1.00;2.17;NULL;NULL;0;0;0;0;1;SARAVENA;;0.00;0.00;0;0;0
24;0;715;72;33;2177000;700000;1;1;0;-1.00;1.92;4.83;NULL;NULL;1;0,853067047;0;0;3;BOGOTA D.C.;CREDIVALORES CREDIUNO;0.00;0.00;0;2;3
25;1;462;14;29;2782000;1500000;0;1;0;2.33;0.33;-1.00;48,06666667;NULL;2;1;2;1;0;BOGOTA D.C.;CREDIFACIL COLPATRIA;0.00;6.00;0;3;2
26;0;736;131;50;2153000;1000000;1;1;0;NULL;1.08;4.42;25,76666667;NULL;2;0,892440074;0;0;2;SINCELEJO;BANCO SERFINANSA S.A;0.00;4.00;0;0;1
27;0;793;116;38;2707000;2000000;1;1;0;NULL;2.08;8.92;31,86666667;14,6;4;0,207506966;0;0;2;VILLETA;BANCOLOMBIA MASTERCARD;0.00;4.00;1;1;1
28;0;788;140;56;2509000;7300000;0;0;0;4.92;-1.00;-1.00;43,03333333;NULL;3;0,902100612;0;0;0;USAQUEN;BCO DAVIVIENDA;0.00;2.00;0;1;0
29;0;740;156;47;6508000;8800000;1;0;0;1.50;-1.00;1.42;26,76666667;16,66666667;2;0,532458402;0;0;2;CARTAGENA;B. FALLABELLA;0.00;2.00;0;2;0
30;1;695;30;46;1705000;2400000;0;0;0;0.42;-1.00;-1.00;24,73333333;NULL;2;1;0;0;0;CUCUTA;BANCOLOMBIA AME. EXP.;0.00;2.00;0;1;0
31;1;621;48;51;1507000;0;1;1;0;-1.00;0.17;9.42;NULL;NULL;0;0;0;0;4;CUCUTA;;0.00;2.00;0;0;1
32;0;781;87;44;3892000;4221000;1;0;0;0.25;-1.00;2.00;20,73333333;NULL;1;0,10208432;0;0;3;PAMPLONA;TUYA S.A.;0.00;4.00;1;1;0
33;0;707;106;40;1722000;0;1;1;0;-1.00;0.75;2.83;NULL;NULL;0;0;0;0;4;PAMPLONA;;0.00;4.00;0;0;2
34;1;279;17;39;2169000;7350000;1;0;0;11.42;-1.00;0.92;25,76666667;150,5666667;2;1;1;1;3;BOGOTA D.C.;BANCO DE OCCIDENTE S.A.;0.00;0.00;0;0;0
35;0;720;53;50;3950000;2300000;1;1;0;0.50;1.42;2.50;23,73333333;NULL;2;0,574721575;0;0;5;MANZANARES;B. FALLABELLA;0.00;0.00;0;0;2
36;0;836;106;48;2741000;0;0;0;0;-1.00;-1.00;-1.00;NULL;NULL;0;0;0;0;0;EL COCUY;;0.00;2.00;0;1;0
37;0;747;97;41;10169000;3000000;1;1;1;4.25;1.92;3.75;49,06666667;24,73333333;1;0,692026897;0;0;4;PAZ DE ARIPORO;BANCO SERFINANSA S.A;0.00;8.00;0;5;4
38;0;727;70;50;1175000;0;1;1;0;0.67;1.00;2.50;NULL;27,8;0;0;0;0;3;SAN LUIS DE GAC;;0.00;2.00;0;1;4
39;1;654;85;53;5747000;3500000;1;1;0;10.17;0.33;3.33;55,2;56,2;2;0,784552049;0;0;2;CIENEGA;TUYA S.A.;0.00;8.00;0;2;2
40;0;648;113;40;1424000;1500000;0;1;0;1.92;0.50;-1.00;25,76666667;NULL;2;1;0;0;0;CARTAGENA;BANCOLOMBIA VISA;0.00;2.00;0;1;4
41;0;677;26;28;3420000;0;0;1;0;-1.00;1.92;-1.00;NULL;NULL;0;0;1;1;0;CIENAGA;;2.00;2.00;2;0;11
42;0;771;37;25;1606000;0;0;0;0;0.25;-1.00;-1.00;NULL;20,73333333;0;0;0;0;0;VILLAVICENCIO;;0.00;0.00;2;2;0
43;0;793;131;32;3254000;2100000;1;1;0;0.92;5.17;1.17;19,7;NULL;4;0,389940918;0;0;1;NEIVA;B. FALLABELLA;0.00;4.00;1;1;1
44;0;695;11;39;1465000;1800000;1;1;0;4.92;1.50;3.83;56,2;NULL;4;0,858341898;0;0;4;CUCUTA;BBVA COLOMBIA;0.00;2.00;0;1;3
45;0;775;94;49;2037000;0;0;1;0;-1.00;0.25;-1.00;NULL;NULL;0;0;0;0;0;CACHIRA;;0.00;0.00;0;0;1
46;0;766;44;39;2037000;0;0;1;0;-1.00;0.25;-1.00;NULL;NULL;0;0;0;0;0;VILLAVICENCIO;;0.00;0.00;0;1;1
47;1;647;48;34;2128000;927000;1;1;0;5.92;0.75;7.75;34,86666667;NULL;2;0;1;1;2;YOPAL;CREDIVALORES CREDIUNO;0.00;0.00;0;0;2
48;0;684;54;29;1391000;0;1;0;0;-1.00;-1.00;6.67;NULL;NULL;0;0;0;0;1;YUMBO;;0.00;0.00;1;2;0
49;1;7;0;23;1134000;0;0;0;0;-1.00;-1.00;-1.00;NULL;NULL;0;0;-1;-1;0;MONTERREY;;0.00;2.00;0;2;0
50;0;509;82;34;3411000;4800000;1;0;0;6.17;-1.00;6.42;90,7;31,86666667;2;0,309126345;0;0;1;CHIA;BANCOLOMBIA VISA;0.00;2.00;0;1;0
51;0;745;53;35;2815000;4200000;1;0;0;6.08;-1.00;4.33;26,76666667;NULL;3;0,598305279;0;1;3;BOGOTA D.C.;BCO DAVIVIENDA;2.00;0.00;0;0;0
52;0;839;98;53;1689000;1050000;1;1;0;2.42;0.25;12.00;47,03333333;NULL;1;0,156041865;0;0;3;ANDES;B. FALLABELLA;0.00;4.00;0;1;1
53;0;819;163;37;1391000;750000;0;0;0;4.08;-1.00;-1.00;65,36666667;NULL;1;0;0;0;0;MOCOA;BANCO SERFINANZA S.A;0.00;2.00;0;0;0
54;1;450;46;54;2484000;0;1;1;0;-1.00;10.17;12.92;NULL;NULL;0;0;0;0;2;GIGANTE;;0.00;0.00;1;0;2
55;0;752;122;42;2153000;1500000;0;1;0;9.33;4.75;-1.00;129,2666667;NULL;1;0;0;0;0;ROLDANILLO;BANCO SERFINANZA S.A;0.00;6.00;0;2;2
56;0;863;160;41;3784000;10149000;1;0;0;5.83;-1.00;9.00;65,36666667;NULL;2;0,435963687;0;0;2;BOGOTA D.C.;TUYA S.A.;0.00;2.00;0;0;0
57;1;713;32;42;2509000;550000;1;1;0;9.00;0.67;3.92;129,2666667;21,66666667;1;0;0;0;2;BOGOTA D.C.;BCO COLPATRIA;0.00;2.00;2;1;2
58;0;715;54;44;5697000;6400000;1;1;0;2.33;1.67;2.17;21,66666667;NULL;5;0,712019274;1;0;2;BOGOTA D.C.;BANCOLOMBIA MASTERCARD;0.00;4.00;0;2;1
59;1;453;14;29;1532000;0;1;1;0;-1.00;3.75;6.33;NULL;NULL;0;0;0;0;2;GIRON;;0.00;2.00;1;0;8
60;0;729;37;24;1217000;400000;1;1;0;2.58;2.58;0.67;51,1;NULL;1;0;0;0;1;FLORIDABLANCA;TUYA S.A.;0.00;0.00;0;2;1
61;1;679;38;30;7171000;6700000;1;0;0;8.08;-1.00;2.08;29,83333333;23,73333333;9;0,556113613;0;0;2;FLORIDABLANCA;BANCOLOMBIA AME. EXP.;0.00;6.00;1;2;0
62;0;757;113;30;1283000;0;1;1;0;-1.00;0.33;2.33;NULL;NULL;0;0;0;0;2;EL ZULIA;;0.00;2.00;0;0;1
63;0;802;100;47;2111000;3300000;1;1;0;0.17;1.08;4.67;21,66666667;NULL;1;0,102999091;0;0;5;BOGOTA D.C.;TUYA S.A.;0.00;2.00;1;0;1
64;1;595;32;47;14285000;2140000;0;0;0;8.50;-1.00;-1.00;123,1666667;24,73333333;2;1;0;1;0;BOGOTA D.C.;BCO DAVIVIENDA;1.00;0.00;0;0;0
65;1;771;87;44;3337000;2548000;0;1;0;6.67;1.75;-1.00;47,03333333;21,66666667;4;0,284507392;0;0;0;BOGOTA D.C.;TUYA S.A.;0.00;2.00;0;2;1
66;1;649;12;29;1457000;1888000;1;1;0;3.83;0.42;3.75;36,9;22,7;2;1;0;0;4;BOGOTA D.C.;TUYA S.A.;0.00;2.00;0;1;1
67;1;732;73;28;9854000;3000000;1;1;1;6.17;4.00;3.75;57,23333333;30,86666667;2;0,349235334;0;0;2;BOGOTA D.C.;BCO AGRARIO;3.00;2.00;0;0;3
68;0;835;142;34;8140000;17000000;0;0;0;1.17;-1.00;-1.00;24,73333333;24,73333333;3;0,698492648;0;0;0;BOGOTA D.C.;BANCOLOMBIA VISA;0.00;4.00;0;1;0
69;1;553;147;50;5316000;3800000;1;1;0;8.25;2.00;2.58;84,6;28,83333333;3;0,270368962;0;0;1;CUMARAL;CREDIFACIL COLPATRIA;1.00;2.00;0;0;4
70;0;824;156;57;1399000;3500000;0;0;0;13.50;-1.00;-1.00;184,0333333;NULL;1;0,550515865;0;0;0;PAIME;CREDIVALORES CREDIUNO;0.00;2.00;0;0;0
71;1;512;1;44;1830000;1200000;0;0;0;5.00;-1.00;-1.00;80,56666667;NULL;1;0,714421704;-1;-1;0;VILLAVICENCIO;CREDIVALORES CREDIUNO;0.00;0.00;0;0;0
72;1;716;60;52;2128000;4879000;1;1;0;4.08;2.67;4.33;20,73333333;NULL;3;0,209561129;0;0;3;FLORENCIA;TUYA S.A.;0.00;2.00;0;0;1
73;1;586;11;43;1979000;1600000;1;1;0;2.50;1.00;3.75;43,03333333;NULL;2;0,265081007;1;3;2;TUNJA;CREDIVALORES CREDIUNO;0.00;2.00;0;0;1
74;0;733;126;39;1515000;1600000;0;0;0;11.92;-1.00;-1.00;57,23333333;NULL;3;0,245361605;0;0;0;TUNJA;CREDIVALORES CREDIUNO;0.00;4.00;0;1;0
75;1;447;74;48;1283000;400000;1;1;0;6.67;7.17;14.25;100,8333333;NULL;1;0,75924812;0;0;2;BOGOTA D.C.;TUYA S.A.;0.00;6.00;0;1;2
76;0;804;133;40;2235000;3000000;0;0;0;0.25;-1.00;-1.00;20,73333333;20,73333333;1;0;0;0;0;CHIPAQUE;BCO DE BOGOTA;0.00;2.00;0;0;0
77;0;608;74;56;7072000;6702000;1;1;1;7.75;0.17;12.25;31,86666667;45,06666667;5;0,966723068;0;0;3;TUNJA;CREDIVALORES CREDIUNO;1.00;0.00;1;1;1
78;0;812;140;43;1258000;2500000;0;1;0;0.33;2.25;-1.00;21,66666667;NULL;1;0;0;0;0;FUSAGASUGA;TUYA S.A.;0.00;2.00;0;0;3
79;0;857;163;55;2509000;4368000;0;1;0;9.25;7.42;-1.00;87,63333333;21,66666667;2;0,012945355;0;0;0;BOGOTA D.C.;BCO AVVILLAS MASTER CARD;0.00;0.00;0;1;6
80;0;828;154;58;4529000;3450000;0;0;0;4.92;-1.00;-1.00;26,76666667;21,66666667;2;0;0;0;0;BOGOTA D.C.;TUYA S.A.;0.00;0.00;0;1;0
81;0;748;126;42;4894000;0;1;1;0;-1.00;19.83;4.00;NULL;NULL;0;0;0;0;1;CALI;;0.00;0.00;0;0;11
82;0;784;156;35;4430000;2369000;1;1;0;5.83;6.75;10.00;37,93333333;35,9;4;0,000140845;0;0;2;LA CEJA;BCO COLPATRIA;0.00;0.00;0;2;2
83;1;752;85;27;3378000;2575000;0;1;1;1.75;3.58;-1.00;41;NULL;1;0,496506211;0;0;0;GIRARDOTA;TUYA S.A.;0.00;0.00;0;0;3
84;0;892;166;49;6575000;27960000;0;1;1;14.08;1.58;-1.00;119,0666667;NULL;3;0,008056849;0;0;0;SAN ANDRES;BCO COLPATRIA;0.00;2.00;0;0;1
85;1;441;26;41;8645000;8100000;1;1;0;6.50;0.33;8.83;51,1;43,03333333;6;0,88984788;12;9;6;ITAGUI;BCO DAVIVIENDA;2.00;2.00;1;1;1
86;0;679;26;24;1109000;0;0;1;0;-1.00;0.83;-1.00;NULL;NULL;0;0;0;0;0;ITAGUI;;0.00;2.00;1;1;6
87;0;776;131;36;5954000;4280000;1;1;0;3.92;0.17;6.92;57,23333333;NULL;2;0,412005737;0;0;3;ALGECIRAS;B. FALLABELLA;0.00;2.00;0;0;1
88;0;763;163;35;2873000;13700000;1;1;0;4.83;1.08;7.00;24,73333333;NULL;4;0,487614622;0;0;2;SOACHA;BCO COLPATRIA;0.00;2.00;0;0;1
89;0;736;113;41;1440000;3000000;0;0;0;0.42;-1.00;-1.00;17,66666667;NULL;1;0,84371876;0;0;0;TUBARA;B. FALLABELLA;0.00;2.00;0;0;0
90;1;725;28;40;1440000;2000000;0;0;0;2.25;-1.00;-1.00;19,7;NULL;3;0,037426901;0;0;0;LURUACO;BCO DAVIVIENDA;0.00;2.00;0;1;0
91;0;717;85;40;4107000;4586000;1;1;0;4.42;7.33;2.00;65,36666667;33,83333333;4;0,61561998;0;0;1;SOLEDAD;CREDENCIAL;0.00;2.00;0;0;3
92;0;727;35;46;4919000;0;0;1;0;0.25;0.25;-1.00;NULL;15,63333333;0;0;0;0;0;EL BAGRE;;0.00;10.00;1;3;6
93;0;630;66;35;2285000;2020000;1;1;0;6.83;0.25;2.67;38,93333333;23,73333333;3;0,927068724;0;0;4;BOGOTA D.C.;CREDIFACIL COLPATRIA;0.00;2.00;1;0;1
94;1;745;134;39;2053000;2400000;1;1;0;1.00;0.50;2.42;NULL;NULL;1;0,436068305;0;0;2;BOGOTA D.C.;BCO DAVIVIENDA;0.00;0.00;0;0;3
95;1;794;123;36;4736000;6400000;0;0;0;1.92;-1.00;-1.00;22,7;NULL;2;0,505940478;0;0;0;BOGOTA D.C.;BANCOLOMBIA VISA;0.00;2.00;0;0;0
96;0;793;109;31;3146000;500000;1;0;0;2.08;-1.00;1.25;NULL;18,7;1;0;0;0;2;LOS PATIOS;BCO DAVIVIENDA;0.00;4.00;0;1;0
97;1;712;105;29;5672000;0;0;1;1;2.33;3.92;-1.00;NULL;NULL;0;0;1;0;0;ABREGO;;0.00;2.00;1;1;2
98;0;715;114;61;2517000;0;0;1;0;-1.00;2.08;-1.00;NULL;NULL;0;0;0;0;0;PASTO;;0.00;6.00;0;1;2
99;1;615;37;69;5482000;0;1;1;0;0.33;1.50;5.50;NULL;15,63333333;0;0;0;0;3;BARRANQUILLA;;0.00;2.00;0;0;1
100;0;787;147;40;2144000;2487000;1;0;0;4.75;-1.00;4.58;69,43333333;NULL;2;0,411635082;0;0;1;POPAYAN;BCO COLPATRIA;0.00;0.00;0;0;0
101;0;767;139;59;2699000;12570000;1;1;1;5.50;1.67;3.08;78,53333333;15,63333333;1;0,137605725;0;0;1;AYAPEL;BANCO SERFINANZA S.A;0.00;4.00;0;1;2
102;0;759;146;30;1730000;1950000;0;1;0;2.00;4.25;-1.00;44,03333333;NULL;4;0,043327556;0;0;0;LORICA;BCO DE BOGOTA;0.00;2.00;0;1;1
103;0;826;156;63;2749000;0;1;0;0;0.17;-1.00;1.58;NULL;21,66666667;0;0;0;0;1;MIRAFLORES;;0.00;2.00;0;0;0
104;0;780;74;41;2401000;3400000;1;1;0;2.83;0.75;4.17;32,9;22,7;6;0,597031566;0;0;3;SABANETA;SCOTIABANK COLPATRIA;0.00;2.00;0;1;2
105;1;715;79;42;3743000;3000000;1;1;0;3.83;5.92;7.42;NULL;35,9;2;0,728855429;0;0;2;UBALA;BCO DAVIVIENDA;0.00;4.00;0;1;6
106;0;751;130;40;2211000;4110000;0;1;0;8.50;1.83;-1.00;123,1666667;55,2;1;0,527122355;0;0;0;SIBATE;CREDIFACIL COLPATRIA;0.00;0.00;0;0;1
107;0;789;130;51;2384000;1600000;1;1;1;0.25;1.75;0.92;14,6;NULL;1;0;0;0;1;RIVERA;TUYA S.A.;0.00;2.00;1;0;1
108;0;755;90;48;3734000;5700000;0;0;0;7.67;-1.00;-1.00;16,66666667;NULL;2;0,556347853;0;0;0;BECERRIL;CREDIVALORES CREDIUNO;0.00;0.00;0;0;0
109;1;755;89;25;1714000;1500000;1;0;0;1.00;-1.00;2.25;NULL;NULL;1;0,002332556;0;0;2;VILLAVICENCIO;BCO DAVIVIENDA;0.00;4.00;2;3;0
110;1;1;1;79;2467000;0;0;1;0;-1.00;32.58;-1.00;NULL;NULL;0;0;0;0;0;BOGOTA D.C.;;0.00;0.00;0;0;1
111;1;407;142;55;2376000;0;1;1;0;-1.00;1.00;11.00;NULL;NULL;0;0;0;0;2;GALAN;;0.00;2.00;0;0;2
112;0;818;169;61;3444000;0;1;0;0;0.67;-1.00;12.33;NULL;21,66666667;0;0;0;0;2;VILLAGOMEZ;;0.00;2.00;0;0;0
113;1;703;53;34;2161000;4600000;1;0;0;0.33;-1.00;3.00;NULL;NULL;1;0,893066725;0;0;4;YOPAL;BCO DAVIVIENDA;0.00;6.00;0;1;0
114;0;720;37;27;1366000;1500000;1;0;0;0.83;-1.00;2.00;22,7;NULL;3;0,297695085;0;0;1;FLORENCIA;BCO DAVIVIENDA;0.00;2.00;0;0;0
115;0;656;87;32;2848000;4500000;1;1;0;3.08;1.42;8.33;22,7;NULL;2;0,025675842;0;0;3;MANI;B. FALLABELLA;0.00;4.00;0;1;2
116;1;470;12;30;1267000;2000000;1;1;0;3.58;1.50;4.00;27,8;NULL;3;0,606023204;0;0;2;PAZ DE ARIPORO;BCO DAVIVIENDA;0.00;2.00;0;1;5
117;1;638;46;38;2873000;750000;1;1;0;8.50;4.67;10.67;89,7;30,86666667;2;0,708476912;1;0;8;BARRANQUILLA;BANCO SERFINANSA S.A;0.00;6.00;0;0;3
118;0;788;98;58;1705000;0;0;1;0;1.42;9.00;-1.00;NULL;NULL;0;0,277777778;0;0;0;SALGAR;;0.00;0.00;0;0;4
119;0;759;140;36;1498000;200000;1;1;0;6.42;1.42;1.42;97,76666667;23,73333333;1;0;0;0;1;POPAYAN;TUYA S.A.;0.00;2.00;0;2;2
120;0;805;130;36;2500000;3000000;1;0;0;3.83;-1.00;2.92;24,73333333;NULL;2;0,188701223;0;0;2;ZIPAQUIRA;B. FALLABELLA;0.00;2.00;0;0;0
121;0;637;45;27;1358000;1100000;1;1;0;-1.00;1.50;2.92;NULL;NULL;1;0,990009083;0;0;1;SOACHA;CREDIFACIL COLPATRIA;0.00;0.00;0;0;1
122;0;575;13;22;1465000;700000;1;1;0;0.25;0.25;0.50;18,7;NULL;1;1;0;0;2;BOGOTA D.C.;BANCOLOMBIA MASTERCARD;2.00;4.00;3;2;2
123;0;814;118;57;2914000;5000000;0;0;0;3.75;-1.00;-1.00;61,26666667;NULL;2;0,447155284;0;0;0;CALI;BCO COLPATRIA;0.00;2.00;0;0;0
124;0;753;105;27;1573000;2250000;1;1;0;0.33;1.67;3.58;21,66666667;NULL;1;0,061306086;0;0;2;FUSAGASUGA;TUYA S.A.;0.00;0.00;0;0;3
125;0;774;100;28;3130000;5000000;1;1;0;0.17;1.75;4.42;21,66666667;NULL;1;0;0;0;3;CUCUTA;TUYA S.A.;0.00;4.00;1;1;1
126;0;827;154;44;19319000;15000000;1;1;0;13.58;1.58;12.75;61,26666667;23,73333333;5;0,048415177;0;0;3;QUIPILE;BCO COLPATRIA;7.00;2.00;0;0;2
127;1;597;133;36;2227000;2400000;1;1;0;4.25;0.83;1.42;69,43333333;NULL;2;0,870560379;0;0;3;ANOLAIMA;BANCO CAJA SOC;0.00;0.00;0;0;3
128;1;403;18;61;2136000;0;1;1;0;2.50;0.25;10.75;48,06666667;27,8;0;1,2;4;5;2;SAN BENITO;B. FALLABELLA;1.00;0.00;0;1;1
129;1;535;37;32;1623000;3810000;0;1;0;3.25;1.83;-1.00;29,83333333;NULL;2;0,073518031;0;0;0;PITALITO;BANCO SERFINANZA S.A;0.00;0.00;0;0;4
130;1;419;17;22;1192000;300000;1;1;0;1.25;0.92;0.33;32,9;NULL;1;0,902511078;0;0;1;SANTA MARTA;TUYA S.A.;0.00;2.00;0;0;8
131;0;766;28;29;2053000;300000;0;1;1;2.08;0.58;-1.00;43,03333333;NULL;1;0;0;0;0;ALDANA;TUYA S.A.;0.00;8.00;0;3;7
132;0;762;46;35;5581000;2000000;1;1;0;5.17;0.25;5.67;68,4;28,83333333;2;0,008842753;0;0;2;PLATO;BCO POPULAR TARJ DE CREDIT;2.00;2.00;0;1;1
133;0;861;169;54;11593000;10000000;1;0;0;9.42;-1.00;14.08;16,66666667;NULL;8;0,036680299;0;0;2;SANTUARIO;BANCOLOMBIA VISA;3.00;4.00;0;1;0
134;0;711;45;33;3519000;5600000;1;0;0;2.17;-1.00;4.25;19,7;44,03333333;2;0,969095592;0;0;4;NEIVA;SCOTIABANK COLPATRIA;2.00;2.00;0;4;0
135;1;854;169;56;3386000;9250000;1;0;0;8.75;-1.00;2.08;15,63333333;NULL;2;0,01580406;0;0;1;COCORNA;TUYA S.A.;0.00;0.00;0;1;0
136;0;773;126;37;5126000;6800000;1;1;0;7.58;1.58;7.58;32,9;32,9;3;0,407118624;0;0;4;ARAUCA;BCO DAVIVIENDA;0.00;0.00;1;0;1
137;0;886;170;59;4521000;5000000;1;0;0;5.58;-1.00;0.67;59,23333333;NULL;1;0;0;0;1;MARINILLA;POPULAR TDC EXPRESS;0.00;4.00;0;0;0
138;1;842;154;73;5134000;16178000;1;1;0;11.83;1.25;5.83;122,1333333;NULL;5;0,685612749;0;0;1;BARRANQUILLA;SCOTIABANK COLPATRIA;3.00;2.00;0;1;1
139;0;676;30;27;1482000;0;0;1;0;-1.00;0.25;-1.00;NULL;NULL;0;0;0;0;0;FACATATIVA;;0.00;2.00;0;0;2
140;0;720;35;54;1879000;1100000;1;1;0;0.50;0.75;3.00;25,76666667;NULL;1;0;0;0;2;AMAGA;B. FALLABELLA;0.00;0.00;0;1;2
141;0;749;163;61;3080000;4100000;1;0;0;2.67;-1.00;1.75;22,7;NULL;2;0,631601183;0;0;4;ALEJANDRIA;B. FALLABELLA;1.00;2.00;0;0;0
142;1;778;163;62;14127000;30000000;1;1;0;14.00;1.00;4.75;34,86666667;23,73333333;7;0,596415045;0;0;6;USAQUEN;BBVA COLOMBIA;7.00;2.00;0;2;2
143;0;752;96;39;5076000;0;1;0;1;-1.00;-1.00;3.25;NULL;NULL;0;0;0;0;1;MARINILLA;;0.00;2.00;0;1;0
144;0;737;136;24;1440000;3860000;0;0;0;3.33;-1.00;-1.00;56,2;NULL;1;0,707588708;0;0;0;BOGOTA D.C.;TUYA S.A.;0.00;0.00;0;0;0
145;0;698;14;32;1639000;0;1;1;0;1.67;1.17;3.92;NULL;18,7;0;0;0;0;3;VALPARAISO;;0.00;2.00;0;2;6
146;0;674;16;27;1739000;0;1;1;0;1.92;2.08;1.67;NULL;NULL;0;0;0;0;2;ARAUCA;;0.00;6.00;1;2;4
147;1;349;11;25;3171000;1500000;1;1;0;5.00;1.67;3.42;29,83333333;29,83333333;3;0,743010449;1;0;5;AGUAZUL;BCO DE BOGOTA;0.00;6.00;1;1;4
148;1;524;37;53;3337000;4200000;1;1;0;8.75;10.17;2.42;48,06666667;NULL;4;0,265193954;0;0;1;CARTAGENA;BANCOLOMBIA VISA;0.00;2.00;1;1;3
149;1;794;98;32;5573000;11600000;1;1;0;3.50;7.00;0.75;29,83333333;20,73333333;3;0,357986715;0;0;2;BOGOTA D.C.;BANCOLOMBIA VISA;0.00;4.00;0;2;3
150;1;660;32;37;1995000;0;1;1;0;0.17;4.08;5.75;NULL;21,66666667;0;0;0;0;3;CARTAGENA;;0.00;2.00;0;2;2
151;1;706;11;36;3983000;3000000;1;1;1;1.50;1.42;2.83;37,93333333;34,86666667;1;0,99875;0;0;5;BARRANQUILLA;BBVA COLOMBIA;0.00;6.00;0;4;4
152;0;746;145;42;2062000;2050000;1;1;0;3.42;0.58;15.00;55,2;16,66666667;1;0,564115066;0;0;2;CHINACOTA;BCO DE BOGOTA;0.00;0.00;0;2;2
153;0;742;53;37;3088000;0;1;0;0;0.25;-1.00;1.83;NULL;16,66666667;0;0;0;0;2;PAMPLONA;;8.00;4.00;1;4;0
