nro_identificacion;bgi_30;acierta_plus;score_trview;edad_cliente;INGRESOS;cupo_max_TDC;tiene_telcos;tiene_real;tiene_coop;ant_max;ant_real;ant_telcos;meses_ultima_apr_tdc;meses_ultima_apr_cab;num_tdc;util_tdc_rot;cant_mora_30;cant_mora_60;telcos;ciudad_exp;entidad_cupo_max;nro_ahor_mer;nro_corr_mer;nro_cons_2m_tdc_mer;nro_cons_2m_cab_mer;sector_real
2890;0;649;14;26;4124000;0;1;1;0;0.25;2.17;0.17;NULL;22,7;0;0;0;0;1;VALLEDUPAR;;0.00;4.00;0;3;1
2891;0;797;122;34;7453000;2000000;0;0;0;0.58;-1.00;-1.00;NULL;22,7;1;0;0;0;0;POPAYAN;BCO DAVIVIENDA;0.00;6.00;0;2;0
2892;0;753;100;35;4803000;9450000;1;0;0;3.50;-1.00;2.17;24,73333333;29,83333333;4;0,499972604;0;0;1;POPAYAN;TUYA S.A.;2.00;4.00;0;1;0
2893;0;735;26;27;1258000;0;1;1;0;-1.00;0.42;1.00;NULL;NULL;0;0;0;0;1;POPAYAN;;0.00;0.00;0;0;6
2894;1;386;11;26;1573000;0;1;1;0;3.42;0.42;2.58;NULL;NULL;0;0;1;1;1;SALAMINA;;0.00;2.00;0;2;1
2895;1;450;14;33;1523000;0;1;1;0;-1.00;0.92;1.00;NULL;NULL;0;0;0;0;2;MARQUETALIA;;0.00;2.00;0;1;2
2896;0;751;42;31;4654000;0;1;1;0;0.42;0.67;1.42;NULL;23,73333333;0;0;0;0;1;SAMACA;;0.00;2.00;0;2;1
2897;1;827;169;41;2484000;4300000;1;0;0;2.83;-1.00;2.58;54,16666667;NULL;3;0,499757305;0;0;1;ANSERMA;BANCOLOMBIA MASTERCARD;0.00;0.00;0;1;0
2898;0;789;160;57;4587000;7990000;1;1;0;7.33;1.00;10.25;32,9;21,66666667;5;0,26409427;0;0;3;CALARCA;B. FALLABELLA;0.00;0.00;0;0;3
2899;0;647;108;39;2592000;0;1;1;0;1.42;1.42;1.83;NULL;25,76666667;0;0;1;1;1;TOTA;;0.00;2.00;0;0;2
2900;0;836;115;59;1772000;0;0;0;1;-1.00;-1.00;-1.00;NULL;NULL;0;0;0;0;0;MONIQUIRA;;0.00;0.00;0;0;0
2901;0;765;96;52;1490000;0;0;0;1;0.17;-1.00;-1.00;NULL;21,66666667;0;0;0;0;0;SAN JOSE DE PAR;;0.00;4.00;0;3;0
2902;1;569;162;58;8239000;11700000;1;0;0;9.67;-1.00;17.25;62,3;NULL;5;0,707105943;0;0;5;AQUITANIA;BCO DAVIVIENDA;4.00;2.00;0;1;0
2903;0;816;169;55;1879000;0;1;0;0;0.17;-1.00;13.92;NULL;21,66666667;0;0;0;0;1;AQUITANIA;;0.00;0.00;0;1;0
2904;0;832;166;60;10036000;12950000;1;1;0;15.92;2.33;2.00;118,1333333;21,66666667;3;0,841718163;0;0;1;SAMACA;BANCO CAJA SOC;0.00;4.00;0;0;1
2905;0;415;133;35;1291000;1050000;0;0;0;1.67;-1.00;-1.00;39,96666667;NULL;1;0;0;0;0;EL CARMEN DE BO;BANCO SERFINANSA S.A;0.00;0.00;0;1;0
2906;1;687;42;35;2310000;0;1;1;0;0.75;1.50;5.67;NULL;NULL;0;0;0;0;1;POPAYAN;;0.00;2.00;0;1;4
2907;0;761;133;32;7949000;4000000;1;0;0;2.67;-1.00;5.58;48,06666667;21,66666667;2;0,674947848;0;0;5;MONIQUIRA;BCO DE BOGOTA;0.00;0.00;0;1;0
2908;0;827;166;63;3395000;8800000;1;0;0;2.58;-1.00;3.33;51,1;NULL;2;0,042342618;0;0;1;VILLANUEVA;BCO DAVIVIENDA;0.00;2.00;0;1;0
